run_accession	fastq_ftp
SRR15058608	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/008/SRR15058608/SRR15058608_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/008/SRR15058608/SRR15058608_2.fastq.gz
SRR15058609	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/009/SRR15058609/SRR15058609_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/009/SRR15058609/SRR15058609_2.fastq.gz
SRR15058610	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/010/SRR15058610/SRR15058610_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/010/SRR15058610/SRR15058610_2.fastq.gz
SRR15058611	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/011/SRR15058611/SRR15058611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/011/SRR15058611/SRR15058611_2.fastq.gz
SRR15058612	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/012/SRR15058612/SRR15058612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/012/SRR15058612/SRR15058612_2.fastq.gz
SRR15058613	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/013/SRR15058613/SRR15058613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/013/SRR15058613/SRR15058613_2.fastq.gz
SRR15058614	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/014/SRR15058614/SRR15058614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/014/SRR15058614/SRR15058614_2.fastq.gz
SRR15058615	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/015/SRR15058615/SRR15058615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/015/SRR15058615/SRR15058615_2.fastq.gz
SRR15058616	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/016/SRR15058616/SRR15058616_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/016/SRR15058616/SRR15058616_2.fastq.gz
SRR15058617	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/017/SRR15058617/SRR15058617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/017/SRR15058617/SRR15058617_2.fastq.gz
SRR15058618	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/018/SRR15058618/SRR15058618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/018/SRR15058618/SRR15058618_2.fastq.gz
SRR15058619	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/019/SRR15058619/SRR15058619_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/019/SRR15058619/SRR15058619_2.fastq.gz
SRR15058620	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/020/SRR15058620/SRR15058620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/020/SRR15058620/SRR15058620_2.fastq.gz
SRR15058621	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/021/SRR15058621/SRR15058621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/021/SRR15058621/SRR15058621_2.fastq.gz
SRR15058622	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/022/SRR15058622/SRR15058622_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/022/SRR15058622/SRR15058622_2.fastq.gz
SRR15058623	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/023/SRR15058623/SRR15058623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/023/SRR15058623/SRR15058623_2.fastq.gz
SRR15058624	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/024/SRR15058624/SRR15058624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/024/SRR15058624/SRR15058624_2.fastq.gz
SRR15058625	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/025/SRR15058625/SRR15058625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/025/SRR15058625/SRR15058625_2.fastq.gz
SRR15058626	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/026/SRR15058626/SRR15058626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/026/SRR15058626/SRR15058626_2.fastq.gz
SRR15058627	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/027/SRR15058627/SRR15058627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/027/SRR15058627/SRR15058627_2.fastq.gz
SRR15058628	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/028/SRR15058628/SRR15058628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/028/SRR15058628/SRR15058628_2.fastq.gz
SRR15058629	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/029/SRR15058629/SRR15058629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/029/SRR15058629/SRR15058629_2.fastq.gz
SRR15058630	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/030/SRR15058630/SRR15058630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/030/SRR15058630/SRR15058630_2.fastq.gz
SRR15058631	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/031/SRR15058631/SRR15058631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/031/SRR15058631/SRR15058631_2.fastq.gz
SRR15058632	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/032/SRR15058632/SRR15058632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/032/SRR15058632/SRR15058632_2.fastq.gz
SRR15058633	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/033/SRR15058633/SRR15058633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/033/SRR15058633/SRR15058633_2.fastq.gz
